"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"266448360523845632","","","","","2012-11-08 07:53:34 +0000","web","El pr?ximo martes 13 participar? como ponente en el IV Curso de Ciencia de Redes de la C?tedra Orange: http://t.co/9DRjc1Za","http://catedra-orange.upm.es/index.php?id=7"
"266176950148673537","266175080487333888","123695829","","","2012-11-07 13:55:04 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@elaragon @AK_BCN (2/2) i.e. data mining isn't needed to know Democrats were happy on victory. Anyway, even that is a post-hoc explanation."
"266176411293863936","266175080487333888","123695829","","","2012-11-07 13:52:56 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@elaragon @AK_BCN Tweets are too short so this one is (1/2) :) I didn't mean you said that (pop. vote) but that would be the useful part."
"266168943411093505","","","","","2012-11-07 13:23:15 +0000","web","Dear followers. If you are aware of any website ""predicting"" the US 2012 elections using Twitter (e.g. Echovoice) please send me the link."
"266166993407860739","266136450901352448","52059455","","","2012-11-07 13:15:31 +0000","web","@AK_BCN @elaragon What's more. The global sentiment doesn't either reflect popular vote. Obama has won but people is divided in half."
"266166736355729408","266136450901352448","52059455","","","2012-11-07 13:14:29 +0000","web","@AK_BCN @elaragon That's of course plausible *but* the fact is that sentiment expressed online in a state doesn't translate into votes."
"266133177653919744","266086946470772737","46991512","","","2012-11-07 11:01:08 +0000","web","@csathi You may be interested in the follow up discussing the performance of a na?ve baseline http://t.co/gfeoKlZQ","http://www.di.uniovi.es/~dani/PFCblog/index.php?entry=entry121107-092236"
"266132797645799424","266109636942368768","14782664","","","2012-11-07 10:59:38 +0000","web","@goladin That's something. Now you need to clearly define the method and determine the role of social data."
"266132465930891264","266122530933309440","123695829","","","2012-11-07 10:58:19 +0000","web","@elaragon I hate to be a killjoy but sentiment is not telling nothing actually. If you check state by state O is always above R (e.g. Texas)"
"266099732718444544","266098726127403008","14782664","","","2012-11-07 08:48:14 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@goladin :( Anyway, it'd be valuable if you tried to separate the role that historical, demographic &amp; social media data plays in prediction."
"266096761561546752","","","","","2012-11-07 08:36:26 +0000","web","For all of you predicting US 2012 elections with Twitter. MAE of baseline: 2.75%. Your goal: MAE &lt;= 2.61%. Details in: http://t.co/gfeoKlZQ","http://www.di.uniovi.es/~dani/PFCblog/index.php?entry=entry121107-092236"
"265897808404553729","","","","","2012-11-06 19:25:52 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","""The problems with your socially-sourced election predictions"" http://t.co/HNZjtL0t  via @DigitalTrends --With some comments from me.","http://bit.ly/UuAdKy"
"265785196056555520","","","265783940504252416","661613","2012-11-06 11:58:23 +0000","web","RT @alexhanna: There are people out there predicting the election using Twitter. @PFCdgayo is flipping tables in rage."
"265785047750176768","265783940504252416","661613","","","2012-11-06 11:57:48 +0000","web","@alexhanna And probably there are tens if not hundreds doing that, wisely waiting for polls closing to announce they could have done it."
"265784651061272576","265783940504252416","661613","","","2012-11-06 11:56:13 +0000","web","@alexhanna XD Sure I am not! In fact I'm acting as a kind of notary in this case. Publishing the prediction *before* the election!"
